Timestamp;Latitude;Longitude
1478289391;-8.61968;-36.61306
1478289452;-8.61969;-36.61332
1478289513;-8.61969;-36.61315
1478289574;-8.61970;-36.61293
1478289635;-8.61970;-36.61318
1478289695;-8.61973;-36.61317
1478289756;-8.61974;-36.61317
1478289817;-8.61974;-36.61320
1478290033;-8.61978;-36.61325
1478290094;-8.61969;-36.61320
1478290681;-8.61962;-36.61337
1478290742;-8.61963;-36.61339
1478290803;-8.61965;-36.61336
1478290864;-8.61966;-36.61336
1478290925;-8.61961;-36.61333
1478290986;-8.61962;-36.61333
1478291047;-8.61959;-36.61336
1478291108;-8.61959;-36.61335
1478291169;-8.61957;-36.61335
1478291230;-8.61953;-36.61335
1478291291;-8.61951;-36.61332
1478291352;-8.61953;-36.61333
1478291413;-8.61952;-36.61333
1478291474;-8.61949;-36.61333
1478291535;-8.61956;-36.61304
1478291602;-8.61899;-36.61280
1478291663;-8.61952;-36.61300
1478291724;-8.61953;-36.61298
1478291785;-8.61954;-36.61300
1478291846;-8.61954;-36.61302
1478291907;-8.61950;-36.61299
1478291968;-8.61956;-36.61299
1478292029;-8.61954;-36.61296
1478292090;-8.61956;-36.61295
1478292151;-8.61967;-36.61300
1478292212;-8.61962;-36.61289
1478292630;-8.61963;-36.61301
1478292692;-8.61969;-36.61304
1478292755;-8.61970;-36.61308
1478292816;-8.61969;-36.61305
1478292877;-8.61971;-36.61311
1478292940;-8.61964;-36.61311
1478293001;-8.61966;-36.61311
1478293062;-8.61965;-36.61314
1478293123;-8.61967;-36.61315
1478293184;-8.61966;-36.61314
1478293245;-8.61964;-36.61315
1478293306;-8.61965;-36.61317
1478293367;-8.61963;-36.61316
1478293428;-8.61966;-36.61320
1478293489;-8.61962;-36.61319
1478293550;-8.61963;-36.61319
1478293611;-8.61962;-36.61319
1478293672;-8.61962;-36.61319
1478293733;-8.61960;-36.61318
1478293794;-8.61958;-36.61318
1478293855;-8.61957;-36.61316
1478293916;-8.61956;-36.61316
1478293977;-8.61956;-36.61316
1478294038;-8.61956;-36.61317
1478294099;-8.61956;-36.61317
1478294946;-8.61940;-36.61317
1478295007;-8.61940;-36.61316
1478295069;-8.61929;-36.61312
1478295130;-8.61935;-36.61315
1478295191;-8.61937;-36.61311
1478295252;-8.61942;-36.61314
1478296059;-8.61958;-36.61319
1478296120;-8.61957;-36.61316
1478296181;-8.61959;-36.61316
1478296856;-8.61960;-36.61320
