data_vaca;tbs;ur;tgn;tpo
10/18/16 10h44min7s;29.090;52.642;38.226;18.762
10/18/16 10h59min7s;29.615;51.045;39.375;18.762
10/18/16 11h14min7s;30.268;49.872;41.152;18.996
10/18/16 11h29min7s;31.357;43.427;45.499;17.793
10/18/16 11h44min7s;31.816;46.710;45.814;19.371
10/18/16 11h59min7s;31.612;44.843;42.893;18.534
10/18/16 12h14min7s;31.868;43.882;41.825;18.420
10/18/16 12h29min7s;30.798;45.143;42.505;17.903
10/18/16 12h44min7s;32.098;43.013;45.593;18.309
10/18/16 12h59min7s;32.562;40.497;45.908;17.762
10/18/16 01h14min7s;32.898;40.131;46.226;17.916
10/18/16 01h29min7s;32.381;39.942;42.149;17.380
10/18/16 01h44min7s;31.612;41.164;42.356;17.172
10/18/16 01h59min7s;32.124;40.150;40.688;17.233
10/18/16 02h14min7s;30.369;42.886;32.304;16.704
10/18/16 02h29min7s;29.439;43.999;31.408;16.268
10/18/16 02h44min7s;29.340;44.414;31.919;16.325
10/18/16 02h59min7s;29.790;44.237;37.673;16.670
10/18/16 03h14min7s;31.153;42.145;40.891;17.134
10/18/16 03h29min7s;31.331;41.998;39.800;17.239
10/18/16 03h44min7s;30.016;44.131;32.794;16.837
10/18/16 03h59min7s;30.066;46.138;35.636;17.583
10/18/16 04h14min7s;29.290;48.224;30.925;17.570
10/18/16 04h29min7s;27.677;52.608;27.456;17.445
10/18/16 04h44min7s;26.818;55.998;26.916;17.613
10/18/16 04h59min7s;26.280;58.450;25.963;17.771
10/18/16 05h14min7s;25.040;62.726;24.002;17.683
10/18/16 05h29min7s;24.315;64.340;23.256;17.381
10/18/16 05h44min7s;23.809;65.885;22.824;17.258
10/18/16 05h59min7s;23.472;66.907;22.585;17.168
10/18/16 06h14min7s;22.896;67.792;21.891;16.814
10/18/16 06h29min7s;22.393;69.038;21.318;16.604
10/18/16 06h44min7s;22.011;69.884;20.865;16.418
10/18/16 06h59min7s;21.724;71.243;20.817;16.427
10/18/16 07h14min7s;21.294;71.718;20.222;16.111
10/18/16 07h29min7s;20.913;72.345;19.960;15.871
10/18/16 07h44min7s;20.603;73.012;19.651;15.706
10/18/16 07h59min7s;20.341;73.685;19.436;15.587
10/18/16 08h14min7s;20.198;74.321;19.294;15.574
10/18/16 08h29min7s;20.079;75.017;19.222;15.594
10/18/16 08h44min7s;19.746;75.438;18.985;15.352
10/18/16 08h59min7s;19.532;75.824;18.842;15.218
10/18/16 09h14min7s;19.460;76.495;18.889;15.276
10/18/16 09h29min7s;19.341;76.670;18.794;15.193
10/18/16 09h44min7s;19.175;76.665;18.343;15.030
10/18/16 09h59min7s;18.866;77.198;17.938;14.829
10/18/16 10h14min7s;18.628;77.517;17.677;14.657
10/18/16 10h29min7s;18.485;78.166;17.605;14.637
10/18/16 10h44min7s;18.366;78.648;17.534;14.609
10/18/16 10h59min7s;18.271;78.853;17.463;14.553
10/18/16 11h14min7s;18.176;79.254;17.391;14.533
10/18/16 11h29min7s;18.033;79.477;17.177;14.433
10/18/16 11h44min7s;17.986;79.774;17.296;14.440
10/18/16 11h59min7s;18.200;79.904;17.867;14.672
10/19/16 12h14min7s;18.295;79.953;17.962;14.774
10/19/16 12h29min7s;18.343;79.823;17.915;14.797
10/19/16 12h44min7s;18.319;79.846;17.843;14.778
10/19/16 12h59min7s;18.319;79.958;17.938;14.798
10/19/16 01h14min7s;18.271;79.920;17.653;14.745
10/19/16 01h29min7s;18.105;80.024;17.415;14.601
10/19/16 01h44min7s;18.224;80.133;17.772;14.736
10/19/16 01h59min7s;18.295;80.205;17.867;14.819
10/19/16 02h14min7s;18.295;80.288;17.748;14.834
10/19/16 02h29min7s;18.129;80.448;17.368;14.699
10/19/16 02h44min7s;18.105;80.750;17.463;14.729
10/19/16 02h59min7s;18.200;81.022;17.724;14.870
10/19/16 03h14min7s;18.224;81.166;17.796;14.918
10/19/16 03h29min7s;18.010;81.286;17.344;14.730
10/19/16 03h44min7s;17.724;81.418;16.915;14.473
10/19/16 03h59min7s;17.629;81.675;16.939;14.424
10/19/16 04h14min7s;17.748;81.868;17.272;14.574
10/19/16 04h29min7s;17.796;81.989;17.296;14.642
10/19/16 04h44min7s;17.701;82.079;17.058;14.564
10/19/16 04h59min7s;17.629;82.174;17.058;14.510
10/19/16 05h14min7s;17.748;82.366;17.296;14.660
10/19/16 05h29min7s;17.962;82.441;17.582;14.883
10/19/16 05h44min7s;18.033;82.513;17.724;14.965
10/19/16 05h59min7s;18.200;82.522;18.295;15.130
10/19/16 06h14min7s;18.509;82.535;19.555;15.436
10/19/16 06h29min7s;19.008;82.368;21.963;15.897
10/19/16 06h44min7s;19.222;81.858;21.079;16.018
10/19/16 06h59min7s;19.960;81.153;24.798;16.616
10/19/16 07h14min7s;20.841;79.142;26.378;17.114
10/19/16 07h29min7s;21.843;75.600;28.965;17.419
10/19/16 07h44min7s;22.729;71.873;29.315;17.525
10/19/16 07h59min7s;23.593;69.019;30.697;17.750
10/19/16 08h14min7s;24.050;66.498;31.077;17.627
10/19/16 08h29min7s;24.653;65.396;32.124;17.950
10/19/16 08h44min7s;25.040;62.817;32.665;17.705
10/19/16 08h59min7s;25.550;61.337;33.209;17.823
10/19/16 09h14min7s;26.085;59.507;34.176;17.863
10/19/16 09h29min7s;26.500;57.954;34.704;17.846
10/19/16 09h44min7s;27.063;56.222;35.475;17.904
10/19/16 09h59min7s;27.677;54.671;36.769;18.043
10/19/16 10h14min7s;27.974;53.953;36.661;18.112
10/19/16 10h29min7s;28.642;51.557;38.504;18.022
10/19/16 10h44min7s;29.190;53.900;39.857;19.226
10/19/16 10h59min7s;29.715;51.090;41.766;18.868
10/19/16 11h14min7s;29.966;49.412;41.502;18.572
10/19/16 11h29min7s;30.167;48.595;41.065;18.493
10/19/16 11h44min7s;30.925;46.863;44.196;18.611
10/19/16 11h59min7s;31.510;45.589;44.812;18.704
10/19/16 12h14min7s;31.791;44.600;45.092;18.610
10/19/16 12h29min7s;31.868;44.147;44.073;18.516
10/19/16 12h44min7s;32.253;42.732;45.311;18.343
