data_pasto;tbs;ur;tgn;tpo
10/19/2016 21:14:7;20484;77332;19912;16429
10/19/2016 21:29:7;20269;77488;19651;16250
10/19/2016 21:44:7;20150;77918;19627;16214
10/19/2016 21:59:7;20031;77751;19294;16067
10/19/2016 22:14:7;19698;78193;18771;15824
10/19/2016 22:29:7;19365;78972;18461;15642
10/19/2016 22:44:7;19175;79270;18295;15511
10/19/2016 22:59:7;19127;79429;18295;15493
10/19/2016 23:14:7;19127;79569;18319;15518
10/19/2016 23:29:7;19222;79674;18580;15630
10/19/2016 23:44:7;19365;79901;18985;15811
10/19/2016 23:59:7;19341;79896;18818;15786
10/20/2016 00:14:7;19222;79815;18533;15656
10/20/2016 00:29:7;19103;79986;18580;15570
10/20/2016 00:44:7;18961;80011;18200;15435
10/20/2016 00:59:7;18675;80343;17819;15215
10/20/2016 01:14:7;18628;80891;17891;15266
10/20/2016 01:29:7;18723;81219;18271;15417
10/20/2016 01:44:7;18723;81442;18343;15456
10/20/2016 01:59:7;18319;81493;17629;15069
10/20/2016 02:14:7;18247;81756;17724;15044
10/20/2016 02:29:7;17986;81948;17272;14821
10/20/2016 02:44:7;17891;82121;17249;14758
10/20/2016 02:59:7;17962;82303;17510;14859
10/20/2016 03:14:7;18057;82379;17629;14966
10/20/2016 03:29:7;18081;82468;17677;15004
10/20/2016 03:44:7;18057;82490;17677;14985
10/20/2016 03:59:7;18081;82495;17701;15009
10/20/2016 04:14:7;18033;82457;17558;14956
10/20/2016 04:29:7;18057;82490;17582;14985
10/20/2016 04:44:7;18057;82546;17510;14994
10/20/2016 04:59:7;17986;82613;17439;14936
10/20/2016 05:14:7;18081;82689;17701;15042
10/20/2016 05:29:7;18152;82733;17891;15120
10/20/2016 05:44:7;18295;82737;18485;15260
10/20/2016 05:59:7;18628;82672;19413;15576
10/20/2016 06:14:7;18937;82630;20198;15872
10/20/2016 06:29:7;19460;82440;22417;16353
10/20/2016 06:44:7;19888;81949;22896;16687
10/20/2016 06:59:7;20103;81240;23497;16772
10/20/2016 07:14:7;20936;79304;25647;17237
10/20/2016 07:29:7;21390;77347;26598;17313
10/20/2016 07:44:7;22681;73415;30722;17795
10/20/2016 07:59:7;23256;71178;30293;17889
10/20/2016 08:14:7;23280;69971;30041;17656
10/20/2016 08:29:7;24171;67300;33235;17923
10/20/2016 08:44:7;24774;64903;33183;17949
10/20/2016 08:59:7;25016;63454;31179;17836
10/20/2016 09:14:7;25162;64422;34045;18205
10/20/2016 09:29:7;26085;60157;34836;18030
10/20/2016 09:44:7;26818;58563;37755;18305
10/20/2016 09:59:7;26207;55877;32355;17010
10/20/2016 10:14:7;27481;56157;39516;18276
10/20/2016 10:29:7;27333;53989;33443;17528
10/20/2016 10:44:7;28147;50433;38672;17221
10/20/2016 10:59:7;29365;49593;42684;18078
10/20/2016 11:14:7;29340;50106;37921;18217
10/20/2016 11:29:7;29790;49195;45217;18342
10/20/2016 11:44:7;30596;45907;44288;17985
10/20/2016 11:59:7;29715;47791;34730;17817
10/20/2016 12:14:7;30091;44140;44812;16908
10/20/2016 12:29:7;31230;42850;45877;17466
10/20/2016 12:44:7;30041;44726;35022;17070
10/20/2016 12:59:7;30798;44287;44688;17600
10/20/2016 13:14:7;32150;39650;47875;17057
10/20/2016 13:29:7;32898;36388;49140;16351
10/20/2016 13:44:7;31714;40608;36715;17048
10/20/2016 13:59:7;29815;43219;32691;16327
10/20/2016 14:14:7;30192;42833;38087;16525
10/20/2016 14:29:7;30419;40936;42505;16016
10/20/2016 14:44:7;32330;40707;47222;17637
10/20/2016 14:59:7;31970;37346;43982;15945
10/20/2016 15:14:7;31740;39473;42267;16620
10/20/2016 15:29:7;32150;36079;43223;15557
10/20/2016 15:44:7;32201;35677;41590;15424
10/20/2016 15:59:7;32898;35030;41531;15744
10/20/2016 16:14:7;32073;36004;38198;15456
10/20/2016 16:29:7;31842;38040;37425;16124
10/20/2016 16:44:7;30925;40357;33966;16244
10/20/2016 16:59:7;29265;45682;29790;16698
10/20/2016 17:14:7;27284;53856;26378;17444
10/20/2016 17:29:7;25793;58407;24508;17302
10/20/2016 17:44:7;25040;61623;23881;17413
10/20/2016 17:59:7;24146;65461;23016;17482
10/20/2016 18:14:7;23545;66650;22417;17179
10/20/2016 18:29:7;22992;68017;21891;16956
10/20/2016 18:44:7;22681;68883;21891;16846
10/20/2016 18:59:7;22489;70209;21795;16946
10/20/2016 19:14:7;22154;71705;21485;16937
10/20/2016 19:29:7;21987;72609;21413;16961
10/20/2016 19:44:7;21724;73317;21127;16850
10/20/2016 19:59:7;21413;74040;20865;16695
10/20/2016 20:14:7;21223;74986;20698;16696
10/20/2016 20:29:7;21103;75423;20484;16666
10/20/2016 20:44:7;21127;75629;20674;16729
10/20/2016 20:59:7;21079;76051;20627;16764
10/20/2016 21:14:7;20936;76625;20507;16735
10/20/2016 21:29:7;20793;77025;20365;16672
10/20/2016 21:44:7;20746;77044;20341;16630
10/20/2016 21:59:7;20674;77372;20293;16622
10/20/2016 22:14:7;20603;77528;20246;16582
10/20/2016 22:29:7;20507;77879;20103;16555
10/20/2016 22:44:7;20412;78001;20031;16485
10/20/2016 22:59:7;20293;78431;19912;16448
10/20/2016 23:14:7;20246;78846;19841;16479
10/20/2016 23:29:7;20246;79129;19912;16531
10/20/2016 23:44:7;20198;79261;19841;16508
10/20/2016 23:59:7;20222;79322;19841;16543
10/21/2016 00:14:7;20222;79548;19888;16584
10/21/2016 00:29:7;20198;79713;19817;16590
10/21/2016 00:44:7;20031;79452;19484;16380
10/21/2016 00:59:7;19674;79658;18889;16069
10/21/2016 01:14:7;19627;80126;19080;16107
10/21/2016 01:29:7;19555;80476;18961;16100
10/21/2016 01:44:7;19627;80660;19246;16202
10/21/2016 01:59:7;19627;80884;19246;16242
10/21/2016 02:14:7;19532;81032;19199;16175
10/21/2016 02:29:7;19460;80988;19151;16098
10/21/2016 02:44:7;19413;80950;19199;16044
10/21/2016 02:59:7;19460;80904;19222;16083
10/21/2016 03:14:7;19508;80858;19270;16121
10/21/2016 03:29:7;19508;80774;19246;16106
10/21/2016 03:44:7;19555;80757;19246;16150
10/21/2016 03:59:7;19555;80757;19294;16150
10/21/2016 04:14:7;19484;80853;19246;16097
10/21/2016 04:29:7;19175;81402;18557;15891
10/21/2016 04:44:7;19032;81482;18414;15766
10/21/2016 04:59:7;18985;81527;18366;15727
